0.283;1
0.383;3
0.800;-3
1.000;3
1.167;-3
1.283;3
1.433;-3
1.450;-1
1.567;1
1.567;3
1.767;-1
1.767;-3
1.850;1
1.850;3
2.017;-3
2.200;3
2.233;-3
2.750;-1
3.000;3
3.267;-3
3.517;4
6.933;1
7.000;-4
7.250;-1
7.367;1
7.700;-1
8.400;1
8.617;-1
9.167;1
9.433;-1
9.633;4
9.700;1
9.867;-4
9.867;-1
10.217;4
10.367;-4
10.517;1
10.884;-1
11.200;1
11.400;-1
11.884;4
11.917;1
12.100;-1
12.217;-4
12.367;4
12.550;-4
12.834;1
12.834;4
13.034;-1
13.034;-4
13.484;4
13.617;-4
13.834;1
13.867;4
14.100;-1
14.134;-4
14.450;1
14.767;-1
14.917;4
15.084;-4
15.334;4
15.600;-4
16.034;1
16.634;-1
16.817;4
17.100;-4
17.600;1
17.784;-1
17.950;4
19.567;-4
19.850;1
20.150;-1
20.484;1
21.150;-1
21.817;1
21.984;-1
22.134;4
22.267;-4
23.134;4
23.284;-4
23.400;4
23.884;-4
24.300;1
24.300;4
24.450;-1
24.484;-4
24.784;4
25.417;1
25.500;-4
25.834;-1
25.934;4
26.484;-4
26.600;4
26.834;-4
26.950;4
27.050;-4
27.200;4
27.384;-4
27.467;4
27.867;-4
28.184;4
28.484;1
28.867;-4
29.550;-1
29.750;3
30.517;-3
30.667;3
33.217;-3
33.517;4
33.800;-4
